Zone Name,Colony Name,Street No,Street Name,Location Name,Location Type,Location Node No (on street),Location ID,X Coordinate (m),Y Coordinate (m),Connected To Zone,Connected To Colony,Connected To Street,Connected To Street No,Connected To Node No,Connected Street Node ID,Connected Node X (m),Connected Node Y (m),Edge Weight (m)
"zone1","gulberg-M4",1,"gulberg-M4 - Street 1","Home 1","home",2,"zone1_gulberg-M4_S1_Loc2",-1541,954,"zone1","gulberg-M4","gulberg-M4 - Street 1",1,2,"zone1_gulberg-M4_S1_N2",-1541,934,20
"zone1","gulberg-M4",1,"gulberg-M4 - Street 1","Home 2","home",3,"zone1_gulberg-M4_S1_Loc3",-1519,954,"zone1","gulberg-M4","gulberg-M4 - Street 1",1,3,"zone1_gulberg-M4_S1_N3",-1519,934,20
"zone1","gulberg-M4",1,"gulberg-M4 - Street 1","Home 3","home",4,"zone1_gulberg-M4_S1_Loc4",-1497,954,"zone1","gulberg-M4","gulberg-M4 - Street 1",1,4,"zone1_gulberg-M4_S1_N4",-1497,934,20
"zone1","gulberg-M4",1,"gulberg-M4 - Street 1","Home 4","home",5,"zone1_gulberg-M4_S1_Loc5",-1475,954,"zone1","gulberg-M4","gulberg-M4 - Street 1",1,5,"zone1_gulberg-M4_S1_N5",-1475,934,20
"zone1","gulberg-M4",1,"gulberg-M4 - Street 1","Home 5","home",6,"zone1_gulberg-M4_S1_Loc6",-1452,954,"zone1","gulberg-M4","gulberg-M4 - Street 1",1,6,"zone1_gulberg-M4_S1_N6",-1452,934,20
"zone1","gulberg-M4",1,"gulberg-M4 - Street 1","Home 6","home",7,"zone1_gulberg-M4_S1_Loc7",-1430,954,"zone1","gulberg-M4","gulberg-M4 - Street 1",1,7,"zone1_gulberg-M4_S1_N7",-1430,934,20
"zone1","gulberg-M4",1,"gulberg-M4 - Street 1","Home 7","home",8,"zone1_gulberg-M4_S1_Loc8",-1408,954,"zone1","gulberg-M4","gulberg-M4 - Street 1",1,8,"zone1_gulberg-M4_S1_N8",-1408,934,20
"zone1","gulberg-M4",1,"gulberg-M4 - Street 1","Home 8","home",9,"zone1_gulberg-M4_S1_Loc9",-1386,954,"zone1","gulberg-M4","gulberg-M4 - Street 1",1,9,"zone1_gulberg-M4_S1_N9",-1386,934,20
"zone1","gulberg-M4",2,"gulberg-M4 - Street 2","Home 9","home",2,"zone1_gulberg-M4_S2_Loc2",-1541,914,"zone1","gulberg-M4","gulberg-M4 - Street 2",2,2,"zone1_gulberg-M4_S2_N2",-1541,894,20
"zone1","gulberg-M4",2,"gulberg-M4 - Street 2","Home 10","home",3,"zone1_gulberg-M4_S2_Loc3",-1519,914,"zone1","gulberg-M4","gulberg-M4 - Street 2",2,3,"zone1_gulberg-M4_S2_N3",-1519,894,20
