Zone Name,Colony Name,Street No,Street Name,Node No,Node ID,X Coordinate (m),Y Coordinate (m),Connection Type,Connected To Zone,Connected To Colony,Connected To Street,Connected To Street No,Connected To Node No,Connected Node ID,Connected Node X (m),Connected Node Y (m),Edge Weight (m)
zone1,gulberg-T1,1,gulberg-T1 - Street 1,1,zone1_gulberg-T1_S1_N1,-2514,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,2,zone1_gulberg-T1_S1_N2,-2491,1274,23
zone1,gulberg-T1,1,gulberg-T1 - Street 1,1,zone1_gulberg-T1_S1_N1,-2514,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 2,2,1,zone1_gulberg-T1_S2_N1,-2514,1234,40
zone1,gulberg-T1,1,gulberg-T1 - Street 1,2,zone1_gulberg-T1_S1_N2,-2491,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,1,zone1_gulberg-T1_S1_N1,-2514,1274,23
zone1,gulberg-T1,1,gulberg-T1 - Street 1,2,zone1_gulberg-T1_S1_N2,-2491,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,3,zone1_gulberg-T1_S1_N3,-2469,1274,22
zone1,gulberg-T1,1,gulberg-T1 - Street 1,2,zone1_gulberg-T1_S1_N2,-2491,1274,Street Edge,No Zone,None,None,0,817,Free_N817,-2491,1294,20
zone1,gulberg-T1,1,gulberg-T1 - Street 1,3,zone1_gulberg-T1_S1_N3,-2469,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,2,zone1_gulberg-T1_S1_N2,-2491,1274,22
zone1,gulberg-T1,1,gulberg-T1 - Street 1,3,zone1_gulberg-T1_S1_N3,-2469,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,4,zone1_gulberg-T1_S1_N4,-2447,1274,22
zone1,gulberg-T1,1,gulberg-T1 - Street 1,3,zone1_gulberg-T1_S1_N3,-2469,1274,Street Edge,No Zone,None,None,0,818,Free_N818,-2469,1294,20
zone1,gulberg-T1,1,gulberg-T1 - Street 1,4,zone1_gulberg-T1_S1_N4,-2447,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,3,zone1_gulberg-T1_S1_N3,-2469,1274,22
zone1,gulberg-T1,1,gulberg-T1 - Street 1,4,zone1_gulberg-T1_S1_N4,-2447,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,5,zone1_gulberg-T1_S1_N5,-2425,1274,22
zone1,gulberg-T1,1,gulberg-T1 - Street 1,4,zone1_gulberg-T1_S1_N4,-2447,1274,Street Edge,No Zone,None,None,0,819,Free_N819,-2447,1294,20
zone1,gulberg-T1,1,gulberg-T1 - Street 1,5,zone1_gulberg-T1_S1_N5,-2425,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,4,zone1_gulberg-T1_S1_N4,-2447,1274,22
zone1,gulberg-T1,1,gulberg-T1 - Street 1,5,zone1_gulberg-T1_S1_N5,-2425,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,6,zone1_gulberg-T1_S1_N6,-2402,1274,23
zone1,gulberg-T1,1,gulberg-T1 - Street 1,5,zone1_gulberg-T1_S1_N5,-2425,1274,Street Edge,No Zone,None,None,0,820,Free_N820,-2425,1294,20
zone1,gulberg-T1,1,gulberg-T1 - Street 1,6,zone1_gulberg-T1_S1_N6,-2402,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,5,zone1_gulberg-T1_S1_N5,-2425,1274,23
zone1,gulberg-T1,1,gulberg-T1 - Street 1,6,zone1_gulberg-T1_S1_N6,-2402,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,7,zone1_gulberg-T1_S1_N7,-2380,1274,22
zone1,gulberg-T1,1,gulberg-T1 - Street 1,6,zone1_gulberg-T1_S1_N6,-2402,1274,Street Edge,No Zone,None,None,0,821,Free_N821,-2402,1294,20
zone1,gulberg-T1,1,gulberg-T1 - Street 1,7,zone1_gulberg-T1_S1_N7,-2380,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,6,zone1_gulberg-T1_S1_N6,-2402,1274,22
zone1,gulberg-T1,1,gulberg-T1 - Street 1,7,zone1_gulberg-T1_S1_N7,-2380,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,8,zone1_gulberg-T1_S1_N8,-2358,1274,22
zone1,gulberg-T1,1,gulberg-T1 - Street 1,7,zone1_gulberg-T1_S1_N7,-2380,1274,Street Edge,No Zone,None,None,0,822,Free_N822,-2380,1294,20
zone1,gulberg-T1,1,gulberg-T1 - Street 1,8,zone1_gulberg-T1_S1_N8,-2358,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,7,zone1_gulberg-T1_S1_N7,-2380,1274,22
zone1,gulberg-T1,1,gulberg-T1 - Street 1,8,zone1_gulberg-T1_S1_N8,-2358,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,9,zone1_gulberg-T1_S1_N9,-2336,1274,22
zone1,gulberg-T1,1,gulberg-T1 - Street 1,8,zone1_gulberg-T1_S1_N8,-2358,1274,Street Edge,No Zone,None,None,0,823,Free_N823,-2358,1294,20
zone1,gulberg-T1,1,gulberg-T1 - Street 1,9,zone1_gulberg-T1_S1_N9,-2336,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,8,zone1_gulberg-T1_S1_N8,-2358,1274,22
zone1,gulberg-T1,1,gulberg-T1 - Street 1,9,zone1_gulberg-T1_S1_N9,-2336,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,10,zone1_gulberg-T1_S1_N10,-2314,1274,22
zone1,gulberg-T1,1,gulberg-T1 - Street 1,9,zone1_gulberg-T1_S1_N9,-2336,1274,Street Edge,No Zone,None,None,0,824,Free_N824,-2336,1294,20
zone1,gulberg-T1,1,gulberg-T1 - Street 1,10,zone1_gulberg-T1_S1_N10,-2314,1274,Street Edge,zone1,gulberg-T1,gulberg-T1 - Street 1,1,9,zone1_gulberg-T1_S1_N9,-2336,1274,22
